"","criteria","Total","Up","Down","contrast","test"
"1","Statistically Significant",5921,3014,2907,"WT24vs0H","QLFTest"
"2","Biologically Significant",2294,975,1319,"WT24vs0H","QLFTest"
"3","Statistically Significant",3689,1878,1811,"WT24vs0H","Exact Test"
"4","Biologically Significant",1031,367,664,"WT24vs0H","Exact Test"
"5","Statistically Significant",6980,3472,3508,"DNAvsDBI","QLFTest"
"6","Biologically Significant",3716,1503,2213,"DNAvsDBI","QLFTest"
"7","Statistically Significant",4073,2297,1776,"DNAvsDBI","Exact Test"
"8","Biologically Significant",1845,976,869,"DNAvsDBI","Exact Test"
"9","Statistically Significant",3042,1749,1293,"WT0H_DNAvsDBI","QLFTest"
"10","Biologically Significant",1853,1014,839,"WT0H_DNAvsDBI","QLFTest"
"11","Statistically Significant",3422,1973,1449,"WT0H_DNAvsDBI","Exact Test"
"12","Biologically Significant",1914,1042,872,"WT0H_DNAvsDBI","Exact Test"
"13","Statistically Significant",3145,1561,1584,"WT24H_DNAvsDBI","QLFTest"
"14","Biologically Significant",1855,945,910,"WT24H_DNAvsDBI","QLFTest"
"15","Statistically Significant",3577,1763,1814,"WT24H_DNAvsDBI","Exact Test"
"16","Biologically Significant",1952,965,987,"WT24H_DNAvsDBI","Exact Test"
"17","Statistically Significant",2260,1371,889,"DBI_24vs0","QLFTest"
"18","Biologically Significant",1680,1028,652,"DBI_24vs0","QLFTest"
"19","Statistically Significant",2542,1503,1039,"DBI_24vs0","Exact Test"
"20","Biologically Significant",1753,1068,685,"DBI_24vs0","Exact Test"
"21","Statistically Significant",3344,1677,1667,"DNA_24vs0","QLFTest"
"22","Biologically Significant",1760,985,775,"DNA_24vs0","QLFTest"
"23","Statistically Significant",3851,1831,2020,"DNA_24vs0","Exact Test"
"24","Biologically Significant",1838,1011,827,"DNA_24vs0","Exact Test"
