"group","lib.size","norm.factors","sample","directory","filename","batch","genotype","hours.pcs","rowCount","uniqueID","interval"
"FN_0H_DBI",11341287,1,"FN_0H_DBI_1","~/Documents/LEC_Time_Series_HTSeq_Counts","12_S10_GeneCount.txt","DBI","FN",0,55426,55426,"0H"
"FN_0H_DBI",11019755,1,"FN_0H_DBI_2","~/Documents/LEC_Time_Series_HTSeq_Counts","14_S11_GeneCount.txt","DBI","FN",0,55426,55426,"0H"
"FN_0H_DBI",10611364,1,"FN_0H_DBI_3","~/Documents/LEC_Time_Series_HTSeq_Counts","18_S12_GeneCount.txt","DBI","FN",0,55426,55426,"0H"
"FN_48H_DBI",10545031,1,"FN_48H_DBI_4","~/Documents/LEC_Time_Series_HTSeq_Counts","15_S13_GeneCount.txt","DBI","FN",48,55426,55426,"48H"
"FN_48H_DBI",10387445,1,"FN_48H_DBI_5","~/Documents/LEC_Time_Series_HTSeq_Counts","16_S14_GeneCount.txt","DBI","FN",48,55426,55426,"48H"
"FN_48H_DBI",9989754,1,"FN_48H_DBI_6","~/Documents/LEC_Time_Series_HTSeq_Counts","17_S15_GeneCount.txt","DBI","FN",48,55426,55426,"48H"
"WT_0H_DBI",12464650,1,"WT_0H_DBI_7","~/Documents/LEC_Time_Series_HTSeq_Counts","1_S1_GeneCount.txt","DBI","WT",0,55426,55426,"0H"
"WT_0H_DBI",11083662,1,"WT_0H_DBI_8","~/Documents/LEC_Time_Series_HTSeq_Counts","2_S2_GeneCount.txt","DBI","WT",0,55426,55426,"0H"
"WT_0H_DBI",10426024,1,"WT_0H_DBI_9","~/Documents/LEC_Time_Series_HTSeq_Counts","4_S3_GeneCount.txt","DBI","WT",0,55426,55426,"0H"
"WT_24H_DBI",8632605,1,"WT_24H_DBI_10","~/Documents/LEC_Time_Series_HTSeq_Counts","6_S4_GeneCount.txt","DBI","WT",24,55426,55426,"24H"
"WT_24H_DBI",10097846,1,"WT_24H_DBI_11","~/Documents/LEC_Time_Series_HTSeq_Counts","7_S5_GeneCount.txt","DBI","WT",24,55426,55426,"24H"
"WT_24H_DBI",10643584,1,"WT_24H_DBI_12","~/Documents/LEC_Time_Series_HTSeq_Counts","8_S6_GeneCount.txt","DBI","WT",24,55426,55426,"24H"
"WT_48H_DBI",10349410,1,"WT_48H_DBI_13","~/Documents/LEC_Time_Series_HTSeq_Counts","9_S7_GeneCount.txt","DBI","WT",48,55426,55426,"48H"
"WT_48H_DBI",10626456,1,"WT_48H_DBI_14","~/Documents/LEC_Time_Series_HTSeq_Counts","10_S8_GeneCount.txt","DBI","WT",48,55426,55426,"48H"
"WT_48H_DBI",9971923,1,"WT_48H_DBI_15","~/Documents/LEC_Time_Series_HTSeq_Counts","11_S9_GeneCount.txt","DBI","WT",48,55426,55426,"48H"
"B8_0H_DNA1",19444244,1,"B8_0H_DNA1_16","~/Documents/LEC_Time_Series_HTSeq_Counts","B8_0_hr_1_S9_GeneCount.txt","DNA1","B8",0,55426,55426,"0H"
"B8_0H_DNA1",23699898,1,"B8_0H_DNA1_17","~/Documents/LEC_Time_Series_HTSeq_Counts","B8_0_hr_3_S10_GeneCount.txt","DNA1","B8",0,55426,55426,"0H"
"B8_0H_DNA1",21164606,1,"B8_0H_DNA1_18","~/Documents/LEC_Time_Series_HTSeq_Counts","B8_0_hr_4_S11_GeneCount.txt","DNA1","B8",0,55426,55426,"0H"
"B8_24H_DNA1",22116235,1,"B8_24H_DNA1_19","~/Documents/LEC_Time_Series_HTSeq_Counts","B8_24hr_1_S12_GeneCount.txt","DNA1","B8",24,55426,55426,"24H"
"B8_24H_DNA1",19343965,1,"B8_24H_DNA1_20","~/Documents/LEC_Time_Series_HTSeq_Counts","B8_24hr_2_S13_GeneCount.txt","DNA1","B8",24,55426,55426,"24H"
"B8_24H_DNA1",21777825,1,"B8_24H_DNA1_21","~/Documents/LEC_Time_Series_HTSeq_Counts","B8_24hr_3_S14_GeneCount.txt","DNA1","B8",24,55426,55426,"24H"
