Symbol	Rank	DevE10.5(PVal)affy430	DevE11.5(PVal)affy430	DevE12.5(PVal)affy430	DevE16.5(PVal)affy430	DevE17.5(PVal)affy430	DevE19.5(PVal)affy430	DevP0(PVal)affy430	DevP2(PVal)affy430	DevP56(PVal)affy430	DevP28Epi(PVal)affy430	DevE9.5a(PVal)lumi2	DevE9.5b(PVal)lumi2	DevE10.5a(PVal)lumi2	DevE10.5b(PVal)lumi2	DevP4(PVal)lumi2	DevP8(PVal)lumi2	DevP12(PVal)lumi2	DevP20(PVal)lumi2	DevP30(PVal)lumi2	DevP42(PVal)lumi2	DevP52(PVal)lumi2	DevP60(PVal)lumi2	DevE9.5(PVal)lumi1	DevE10.25(PVal)lumi1	DevE15.5(PVal)affy430a	DevP0a(PVal)affy430a	DevP0b(PVal)affy430a

0610010F05Rik	-	0.01	0	0	0	0	0	0	0	0	0	0.23	0	0.11	0	0.94	0.56	0.5	0.49	0.71	0.4	0.26	0.27	0.46	0.02	-	-	-
1110007C09Rik	-	0.8	0.83	0.5	0.02	0.56	0.8	0.45	0.41	0.18	0	0.01	0.1	0.07	0.19	0.48	0.67	0.24	0.31	0.88	0.83	0.56	0	0.08	0	0.08	0	0
1190002F15Rik	-	0	0.2	0.46	0.21	0.06	0	0.41	0.99	0.45	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1190002N15Rik	-	0	0	0	0	0	0.01	0	0	0	0.11	0.08	0.51	0.45	0.17	0	0	0	0	0	0	0	0	0.06	0.04	0.43	0	0
1500009C09Rik	-	0.37	0.11	0.74	0	0.32	0.03	0.05	0.18	0.01	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1500015O10Rik	-	0.51	0.35	0.23	0.35	0.92	0.01	0.29	0	0	0	0.75	0.75	0.74	0.98	0	0	0	0	0	0	0	0	-	-	0.55	0	0
1600020E01Rik	-	0	0	0	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1700001C19Rik	-	0.85	0.23	0.35	0.13	0.18	0.13	0.11	0.02	0	0.02	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0.03	0.05	0.03
1700017B05Rik	-	0.28	0.07	0.94	0	0	0	0	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	0	0	0
1700025G04Rik	-	0	0.01	0	0	0	0.02	0	0.66	0	0	0.03	0.05	0	0.08	0.14	0.38	0.19	0.24	0.02	0.07	0.09	0.35	0.02	0.01	-	-	-
1700029J07Rik	-	0.01	0	0	0	0	0	0	0.03	0	0	0.55	0.9	0.38	0.52	0.19	0.16	0.26	0.43	0.04	0.2	0.25	0.32	0.68	0.66	-	-	-
1700040L02Rik	-	0.39	0.29	0	0	0.67	0.39	0.66	0.13	0.59	0.01	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1700084C01Rik	-	-	-	-	-	-	-	-	-	-	-	0.37	0.46	0.01	0.83	0.03	0.43	0.05	0.2	0.17	0.4	0.43	0	-	-	-	-	-
1810010H24Rik	-	0.91	0.83	0.15	0	0.05	0.04	0.06	0	0	0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
