"","gene_id","SYMBOL","coding_length","DESCRIPTION","GENEBIOTYPE","SEQCOORDSYSTEM","ENTREZID","WT_0H_DNA2","WT_120H_DNA2","logFC","logCPM","F","PValue","FDR"
"ENSMUSG00000022952","ENSMUSG00000022952","Runx1",12025,"runt related transcription factor 1 [Source:MGI Symbol;Acc:MGI:99852]","protein_coding","chromosome","12394",0.142702211188313,28.2890215875709,7.56746894329059,7.39488791176463,3017.41922493903,8.75221028584782e-18,1.25874288331063e-13
"ENSMUSG00000025348","ENSMUSG00000025348","Itga7",8092,"integrin alpha 7 [Source:MGI Symbol;Acc:MGI:102700]","protein_coding","chromosome","16404",0.417594115934528,34.8838992312576,6.327618296344,7.13655326537017,1846.33991020291,2.69439057646155e-16,1.9375362635335e-12
"ENSMUSG00000024907","ENSMUSG00000024907","Gal",788,"galanin and GMAP prepropeptide [Source:MGI Symbol;Acc:MGI:95637]","protein_coding","chromosome","14419",0.624897474518348,212.112699174085,8.33171390951438,6.37547374864476,1480.24491908323,3.16208536651688e-15,1.51590372470819e-11
"ENSMUSG00000030560","ENSMUSG00000030560","Ctsc",5808,"cathepsin C [Source:MGI Symbol;Acc:MGI:109553]","protein_coding","chromosome","13032",2.74937810387879,130.893772518919,5.51482923108041,8.57665795352738,1222.21482767913,5.89536936040189e-15,1.78160306519012e-11
"ENSMUSG00000040998","ENSMUSG00000040998","Npnt",5026,"nephronectin [Source:MGI Symbol;Acc:MGI:2148811]","protein_coding","chromosome","114249",62.7254820226623,2.58298579517789,-4.65350686917288,7.38796546981912,1147.51969494335,7.35475630455204e-15,1.78160306519012e-11
"ENSMUSG00000031659","ENSMUSG00000031659","Adcy7",6733,"adenylate cyclase 7 [Source:MGI Symbol;Acc:MGI:102891]","protein_coding","chromosome","11513",0.236469203245642,23.608402222607,6.57515476419954,6.3046010132279,1263.31632024984,9.15497468466697e-15,1.78160306519012e-11
"ENSMUSG00000038677","ENSMUSG00000038677","Scube3",8844,"signal peptide, CUB domain, EGF-like 3 [Source:MGI Symbol;Acc:MGI:3045253]","protein_coding","chromosome","268935",13.0927430194404,0.517097496844783,-4.71261813329796,5.94476281586048,1111.66505168986,9.16603676741613e-15,1.78160306519012e-11
"ENSMUSG00000042804","ENSMUSG00000042804","Gpr153",3909,"G protein-coupled receptor 153 [Source:MGI Symbol;Acc:MGI:1916157]","protein_coding","chromosome","100129",4.19968288411616,62.5880942806782,3.84953305217247,7.0099225013156,1099.22041456263,9.91018253478027e-15,1.78160306519012e-11
"ENSMUSG00000030123","ENSMUSG00000030123","Plxnd1",7301,"plexin D1 [Source:MGI Symbol;Acc:MGI:2154244]","protein_coding","chromosome","67784",1.51143933124524,36.6492416404202,4.548582802582,7.1005455642724,1040.22797922206,1.4525170575922e-14,2.32112225803234e-11
"ENSMUSG00000006219","ENSMUSG00000006219","Fblim1",4457,"filamin binding LIM protein 1 [Source:MGI Symbol;Acc:MGI:1921452]","protein_coding","chromosome","74202",0.269306420561784,17.8769466162505,5.98824599726541,5.31693039846637,993.691150057986,1.99435306049024e-14,2.78745605280669e-11
"ENSMUSG00000038400","ENSMUSG00000038400","Pmepa1",4913,"prostate transmembrane protein, androgen induced 1 [Source:MGI Symbol;Acc:MGI:1929600]","protein_coding","chromosome","65112",6.31426350015069,121.595433985151,4.2123176400081,8.27308366659847,984.160987743096,2.1319716715946e-14,2.78745605280669e-11
"ENSMUSG00000029648","ENSMUSG00000029648","Flt1",13504,"FMS-like tyrosine kinase 1 [Source:MGI Symbol;Acc:MGI:95558]","protein_coding","chromosome","14254",1.3492635616857,14.0431389800345,3.33173932061692,6.68421160371703,963.360433555009,2.47175686487299e-14,2.96240060255028e-11
"ENSMUSG00000037379","ENSMUSG00000037379","Spon2",2947,"spondin 2, extracellular matrix protein [Source:MGI Symbol;Acc:MGI:1923724]","protein_coding","chromosome","100689",60.3360516638111,4.12203819672887,-3.92294850157753,6.5994152621306,908.019309952739,3.72201708009714e-14,4.11769612661208e-11
"ENSMUSG00000029765","ENSMUSG00000029765","Plxna4",14103,"plexin A4 [Source:MGI Symbol;Acc:MGI:2179061]","protein_coding","chromosome","243743",9.0443845610742,0.887065902008973,-3.40160134744582,6.16135012968465,853.878188265995,5.69309683525619e-14,5.8484370489039e-11
"ENSMUSG00000022098","ENSMUSG00000022098","Bmp1",8870,"bone morphogenetic protein 1 [Source:MGI Symbol;Acc:MGI:88176]","protein_coding","chromosome","12153",16.3002972147452,178.389425254999,3.40126175023843,9.73533914567546,823.990768202814,7.28179999287249e-14,6.98178983316614e-11
