gene_id	coding_length	SYMBOL	DESCRIPTION	Var
ENSMUSG00000000001	3262	Gnai3	guanine nucleotide binding protein (G protein), alpha inhibiting 3 [Source:MGI Symbol;Acc:MGI:95773]	256661.47826087
ENSMUSG00000000028	3506	Cdc45	cell division cycle 45 [Source:MGI Symbol;Acc:MGI:1338073]	19248.375
ENSMUSG00000000031	2460	H19	H19, imprinted maternally expressed transcript [Source:MGI Symbol;Acc:MGI:95891]	6527.67391304348
ENSMUSG00000000037	6397	Scml2	Scm polycomb group protein like 2 [Source:MGI Symbol;Acc:MGI:1340042]	478.427536231884
ENSMUSG00000000056	4806	Narf	nuclear prelamin A recognition factor [Source:MGI Symbol;Acc:MGI:1914858]	36213.5199275362
ENSMUSG00000000058	3335	Cav2	caveolin 2 [Source:MGI Symbol;Acc:MGI:107571]	15627.5634057971
ENSMUSG00000000078	4391	Klf6	Kruppel-like factor 6 [Source:MGI Symbol;Acc:MGI:1346318]	5283018.57971014
ENSMUSG00000000085	7731	Scmh1	sex comb on midleg homolog 1 [Source:MGI Symbol;Acc:MGI:1352762]	36644.0797101449
ENSMUSG00000000088	2101	Cox5a	cytochrome c oxidase subunit 5A [Source:MGI Symbol;Acc:MGI:88474]	25334.4619565217
ENSMUSG00000000093	3626	Tbx2	T-box 2 [Source:MGI Symbol;Acc:MGI:98494]	13231.7608695652
ENSMUSG00000000120	3446	Ngfr	nerve growth factor receptor (TNFR superfamily, member 16) [Source:MGI Symbol;Acc:MGI:97323]	769240.563405797
ENSMUSG00000000126	3329	Wnt9a	wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]	6698.5634057971
ENSMUSG00000000127	4680	Fer	fer (fms/fps related) protein kinase [Source:MGI Symbol;Acc:MGI:105917]	78090.2536231884
ENSMUSG00000000131	16920	Xpo6	exportin 6 [Source:MGI Symbol;Acc:MGI:2429950]	417942.02173913
ENSMUSG00000000134	9261	Tfe3	transcription factor E3 [Source:MGI Symbol;Acc:MGI:98511]	55417.2880434783
